simulation_no,vehicle_time_loss,pedestrian_time_loss
1,40.98,43.38
2,38.86,45.17
3,36.69,44.08
4,34.77,44.3
5,37.31,42.14
6,40.2,43.59
7,33.5,42.64
8,42.9,44.38
9,36.95,44.22
10,39.89,43.56
11,36.42,43.53
12,34.57,43.11
13,37.83,43.11
14,32.1,42.18
15,35.66,41.78
16,40.62,43.63
17,33.15,42.52
18,36.54,42.51
19,36.18,42.96
20,37.76,43.27
21,35.95,43.69
22,36.73,42.88
23,40.65,43.06
24,34.16,42.91
25,32.51,41.39
26,38.83,42.85
27,42.79,42.53
28,30.59,41.15
29,39.04,44.93
30,32.2,41.12
31,33.44,41.84
32,38.72,41.86
33,36.3,44.77
34,34.98,43.48
35,33.0,43.63
36,35.48,41.54
37,33.7,42.93
38,37.05,42.01
39,35.09,42.29
40,34.17,42.74
41,31.38,43.2
42,41.36,46.21
43,33.81,43.28
44,33.93,42.8
45,36.59,42.65
46,36.17,42.16
47,39.46,44.2
48,34.32,42.19
49,42.61,43.9
50,33.89,43.66
