simulation_no,vehicle_time_loss,pedestrian_time_loss
1,40.25,43.73
2,37.44,44.33
3,38.44,44.08
4,38.24,43.99
5,39.24,44.43
6,37.32,43.24
7,37.08,43.93
8,36.45,43.14
9,36.81,43.16
10,36.5,44.17
11,37.13,44.13
12,38.78,44.95
13,36.76,44.2
14,39.94,43.73
15,37.47,45.25
16,35.96,44.19
17,37.34,43.66
18,38.41,43.7
19,36.52,42.36
20,36.39,41.75
21,35.48,42.84
22,38.44,43.89
23,37.31,44.26
24,38.07,43.05
25,40.45,44.15
26,36.2,45.13
27,35.96,43.96
28,35.05,44.2
29,38.18,42.63
30,36.71,45.32
31,37.4,43.17
32,37.29,45.21
33,40.8,43.75
34,38.14,43.62
35,39.19,46.03
36,36.87,43.74
37,35.37,44.79
38,38.1,43.44
39,40.49,44.24
40,38.11,44.28
41,36.54,42.36
42,39.73,41.82
43,38.24,43.64
44,35.83,42.92
45,37.72,44.01
46,39.26,44.4
47,36.44,41.95
48,38.91,43.53
49,36.29,41.62
50,37.92,44.67
